"grupodeatributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","200093677","","LB BIORENO  LIMP 125 G","LB BIORENO  LIMP 125 G","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200095385","",".",".","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200096221","Multicrem Nutrients","Loción corporal nutritiva","ES MULTICARE EDL CR SAN VA 1LT","1 litro / 33,7 fl.oz.","","","","","","Multicare","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200093670","","LB BIORENO HIDRA FPS 30 ML","LB BIORENO HIDRA FPS 30 ML","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200093671","","LB BIORENO NUTRI  50 G","LB BIORENO NUTRI  50 G","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200093674","","LB BIORENO HIDRA TRIAL 5 ML","LB BIORENO HIDRA TRIAL 5 ML","5 ml.16 fl. oz.","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200093676","","LB BIORENO NUTRI TRIAL 5 ML","LB BIORENO NUTRI TRIAL 5 ML","5 ml.16 fl. oz.","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200093681","","LB BIORENO HDR+NTR+LIM SA 3 UN","LB BIORENO HDR+NTR+LIM SA 3 UN","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200093683","","LB BIORENO KIT TS 3 UN","LB BIORENO KIT TS 3 UN","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200096723","MÍA","Loción perfumada","ES MÍA LOC PERF 150 ML","150 ml / 5 fl.oz.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200097199","",".",".","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200097046","",".",".","350 ml / 11,8 fl.oz.","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200094888","primer lash","Primer con color para pestañas efecto rizado","black","6.5 g / 0.22 oz.","","","","","","cy","","","","","","","","","AUMENTA La curva natural de tus pestañas","","MAXIMIZA el efecto de tu máscara","","INGREDIENTES NATURALES Aceite de almendras y proteína de arroz que acondiciona las pestañas","","","","",""
"Comunicaciones","200094890","primer lash","Primer con color para pestañas efecto rizado","black","6.5 g / 0.22 oz.","","","","","","cy","","","","","","","","","AUMENTA La curva natural de tus pestañas","","MAXIMIZA el efecto de tu máscara","","INGREDIENTES NATURALES Aceite de almendras y proteína de arroz que acondiciona las pestañas","","","","",""
"Comunicaciones","200042737","IN LOVE EAU PARFUM 50 ML","eau de parfum","eau de parfum","50 ml / 1.7 fl. oz.","","ESIKA REPUBLICA DOMINICANA","","love es todo lo que necesitas","frutal","in love","0","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200049918","berry cocktail","Colonia refrescante","berry cocktail","200 ml / 6.7 fl. oz.","","ESIKA REPUBLICA DOMINICANA","","ACCESORIOS","frutal","berrylicious","0","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200094508","","eau de parfum","CZ VERA EDT 50 ML","50 ml / 1.7 fl. oz.","","","","","","vera","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200094509","","eau de parfum","CZ VERA PRO C\P 2 ML","2 ml","","","","","","probador vera","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200095507","","SAFARY ADVENTURE","SAFARY ADVENTURE Fragance mist 200 ml","200 ml / 3,4 fl. Oz.","","","","","","Paradisso","","ESIKA PAISES","Colonia","","","","","","","","","","","","","","",""
"Comunicaciones","200095659","New Code Red","Parfum. Concentración alta/muy alta*","New Code Red","90 ml e 3 fl. oz.","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200095827","","LB L'ECLAT PROB C/PUMP 2ML","LB L'ECLAT PROB C/PUMP 2ML","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200095862","Le Tempo","Eau de Toilette Pour Homme","LB LE TEMPO PROB C/P 2ML","2 ml.06 fl. oz.","","","","","","","","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200095895","","eau de parfum","CY IN LOVE EDP CC 50 ML","50 ml / 1.7 fl. oz.","","","","","frutal","in love","","CYZONE PAISES","","Enamora con el dulce melocotón y las delicadas notas del bouquet floral.","","","","","","","","","","","","","",""
"Comunicaciones","200095904","Probador Mía","Eau de parfum","ES MÍA PROB C/PUMP 2ML","2 ml / ,06 fl.oz.","","","","","","MÍA","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200095931","IMPREDECIBLE","Eau de parfum","ES IMPREDECIBLE EDP 50 ML","50 ml / 1,7 fl.oz.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200095935","Le Tempo","Eau de Toilette Pour Homme","LB LE TEMPO EDT 90ML","90 ml3 fl. oz.","","","","","","","","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200095964","","Colonia refrescante","pera in love","200 ml / 6.7 fl. oz.","","","","","frutal","pera in love","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200096152","Impredecible","Eau de parfum","Impredecible Eau de parfum 50 ml","50 ml / 1,7 fl.oz.","","","","","","Impredecible","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200097392","","eau de toilette","CZ BREAK IN PROB C/PUMP 2ML","2 ml","","","","","","break in","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200082486","Bleu Intense Night","Eau de Toilette Pour Homme","LB BLENIGHT PROB C/C 4.5 ML","4.5 ml.15 fl. oz.","4.5 ml",".15 fl. oz.","","La noche es solo suya","El clásico aroma de Bleu Intense en una versión que captura el azul profundo de la noche. Frescos acentos cítricos y acuáticos son el preámbulo a la seducción del cedro. (Conquistador)","Un nuevo aroma inspirado en la seducción de la noche que combina notas acuáticas y cedro con la energía y frescura de la clásica Bleu Intense.","","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200095632","","eau de toilette","CY MASC P5 EDT 100 ML","90 ml / 3 fl. oz.","","","","","maderoso","strom","","CYZONE PAISES","","Provoca con la irresistible menta y la masculinidad de la madera negra.","","","","","","","","","","","","","",""
"Comunicaciones","200095911","","Colonia refrescante","sandía shake","200 ml / 6.7 fl. oz.","","","","","frutal","sandía shake","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200097300","","SOLEIL GOLD","Eau de parfum atomiseur","50 ml / 1,7 fl.oz.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200097301","Soleil Gold","Eau de parfum","ES FLK SOLEIL ROSE PRB C/P 2ML","2 ml / ,06 fl.oz.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200094936","cool","Colonia de baño","cool","200 ml","","","","","","taste","","","","Disfruta el jugoso aroma de la granada combinada con dulces toques de milkshake de vainilla… no podrás resistirte a probarla!","","","","","","","","","","","","","",""
"Comunicaciones","200097902","","eau de parfum","CY SWEET BLACK INTENS PROB 2ML","2 ml","","","","","","sweet black intense","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200095669","","Desodorante antitranspirante roll-on","dancing night","50 ml / 1.6 fl. oz.","","","","","","dancing night","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200095922","","Desodorante antitranspirante roll-on","sweet black","50 ml / 1.6 fl. oz.","","","","","","sweet black","","","","","","","","","","","","","","","","","",""
